age,salary,balance,credit_score,tenure,products,active_member,churn
50,59711,136727,534,10,1,0,0
68,31954,44859,644,4,2,1,1
59,93340,184697,833,5,3,1,0
61,92101,52098,765,10,1,1,0
41,91520,146323,840,11,3,1,0
32,107062,122413,512,10,2,0,0
49,122974,526,762,8,1,1,0
49,38574,68760,735,2,1,1,1
41,29184,47837,582,8,1,1,1
58,39096,11536,762,16,2,1,0
69,87728,28541,706,5,3,1,0
66,54016,79083,387,3,1,1,0
66,31246,182099,343,12,3,1,0
69,65558,34531,760,13,3,0,1
29,138721,8712,577,13,2,0,0
56,38381,104101,720,10,1,0,1
19,147796,65455,652,4,3,0,0
20,56455,74744,814,9,1,0,0
66,112263,129749,318,2,1,0,1
54,24018,5109,322,19,2,1,1
66,31302,49268,712,1,1,1,1
34,87506,231809,329,7,1,0,1
66,61157,54615,407,17,3,1,0
19,74917,82503,666,3,2,0,0
19,112738,160831,580,3,1,1,0
45,116646,85708,427,3,3,1,0
40,103122,191184,528,17,2,1,0
54,44519,102471,410,7,2,1,1
49,116809,157661,435,14,3,1,0
50,107487,161087,661,17,3,1,0
18,76819,160081,485,18,3,0,0
36,100910,83309,428,13,3,0,0
19,140430,126446,560,18,3,1,0
61,91324,193118,814,4,1,0,0
43,25408,106661,748,1,1,1,0
49,79379,157215,403,18,2,0,0
23,45053,6154,782,1,1,1,0
49,29446,152876,523,13,1,0,1
21,20922,172760,790,10,1,1,0
28,118723,64288,772,11,3,0,0
34,71356,51195,309,9,2,1,0
55,30789,20581,704,9,2,0,1
41,117720,183720,601,5,2,1,0
22,86656,30087,530,1,2,1,0
69,64028,181002,365,17,1,1,0
51,84484,164053,411,2,1,0,1
23,52154,69298,312,13,3,0,0
39,102870,46167,692,9,2,0,0
28,22336,206376,799,4,1,1,0
65,123677,174480,533,5,1,0,0
33,87779,39499,613,11,3,1,0
50,39029,125816,311,19,3,0,0
26,79201,183341,508,3,3,0,1
23,52265,169631,313,12,1,0,0
33,122916,245198,717,19,1,0,0
46,132250,205391,736,19,3,1,0
20,136553,242997,676,13,2,0,1
37,63872,226389,319,7,3,0,0
53,66197,96347,369,15,3,1,0
36,145733,48787,510,7,3,1,0
43,75180,35488,400,8,3,0,0
20,43710,74441,431,5,1,0,0
36,49486,205735,680,14,2,1,0
37,91907,22431,431,4,3,1,0
49,148876,61681,319,10,2,1,0
24,91895,194555,835,15,2,0,0
69,84435,122720,526,18,2,0,1
58,60631,49153,453,13,3,0,0
50,149038,6368,768,8,1,1,0
57,121532,158496,704,9,3,1,0
56,40103,112360,501,16,2,1,1
35,84772,176076,337,19,2,0,1
57,146108,214941,487,16,1,1,1
18,34382,219724,356,7,3,0,1
28,104291,112755,319,14,2,1,0
45,121195,56985,572,14,1,0,1
42,23756,50069,418,4,2,0,0
67,40609,52326,815,15,1,1,0
40,134074,108737,520,3,1,0,0
48,36478,212133,825,5,3,1,1
47,120978,154470,814,1,2,0,0
59,59666,229465,635,3,3,1,0
52,95683,50861,354,15,2,1,0
24,119097,75897,799,8,3,0,0
33,144714,212977,835,4,2,1,0
43,120420,127118,461,2,3,0,0
65,91315,68577,458,10,1,1,0
69,97834,196713,487,4,2,1,0
66,146205,9078,359,3,2,1,1
19,34153,156075,618,2,1,1,0
18,129415,62768,510,17,3,0,1
65,96325,51047,705,13,2,1,0
29,129701,71626,408,5,2,1,0
22,32999,57660,375,9,3,0,0
54,75318,235458,841,6,1,0,1
49,20814,180858,613,5,3,0,1
26,135033,132997,416,10,3,0,0
58,96077,215048,318,8,3,0,1
52,110474,236293,731,7,2,0,0
36,22443,117832,649,7,1,1,1
65,95993,130406,482,6,1,0,0
33,95916,125150,412,3,3,1,0
20,93319,157087,482,19,2,0,1
37,145885,33320,780,15,3,1,0
41,129777,64881,445,4,2,1,0
50,37368,90827,412,12,2,1,0
41,35328,102215,775,6,2,0,0
69,76942,157361,602,19,2,0,0
28,111751,134461,417,4,1,0,1
66,119131,156755,460,15,2,0,1
25,47306,144701,700,9,2,1,1
53,105451,61550,497,5,3,0,1
55,59915,24826,559,13,3,1,0
57,57219,100734,346,18,1,1,0
37,100879,157702,698,5,3,0,0
52,131939,229834,377,16,2,0,1
65,84644,177235,423,19,3,0,0
42,80279,98511,374,14,1,1,0
52,73028,197507,436,16,3,0,0
42,124263,11653,699,15,3,1,0
46,20126,159033,804,4,1,0,1
35,72329,81941,799,7,1,1,0
63,47632,205209,437,16,2,0,1
35,127099,33662,349,8,3,0,1
19,85310,98818,553,17,2,1,0
52,129945,187518,725,16,3,0,1
33,75176,152360,846,10,3,0,0
58,139797,95081,601,10,2,0,0
53,106066,36877,648,2,3,0,1
50,125500,111562,348,9,3,0,0
21,146413,146385,373,17,3,0,0
50,64327,211957,560,11,1,0,0
31,88904,72715,655,10,2,1,0
38,23797,141398,559,17,1,1,0
65,67882,110091,594,4,2,0,0
37,33718,132632,612,16,2,0,0
25,54560,79148,481,15,3,0,1
24,96589,83186,663,5,2,1,0
20,42116,157817,487,6,1,1,0
34,56244,162962,842,17,1,0,0
50,121721,151094,847,1,1,1,0
65,21645,123629,707,19,2,0,1
29,67523,183651,713,4,1,0,0
68,144085,70316,641,17,2,0,1
39,137718,214919,519,9,1,0,1
39,39256,28380,462,2,1,1,0
63,121376,110198,519,8,2,1,1
47,120158,2356,569,15,1,0,1
55,73173,70326,699,7,3,1,0
55,57430,92447,481,6,2,1,0
62,59282,114994,504,1,2,0,1
68,139719,220971,527,15,2,1,1
25,83374,20049,549,7,3,0,0
44,88244,206789,740,17,2,0,0
44,31694,105361,832,2,1,0,0
51,76264,16082,495,9,1,0,0
38,95060,661,818,9,1,1,0
47,117416,168484,369,13,2,0,0
50,77545,245087,698,6,1,1,0
45,138195,2920,502,6,2,0,1
64,59224,222266,447,3,1,0,1
50,122516,245378,771,17,3,1,0
22,117945,191387,498,17,3,0,0
65,33224,79561,725,12,3,1,1
36,60738,8946,791,16,3,1,0
21,45150,225314,441,15,2,0,0
52,83731,176572,612,13,1,0,1
66,69688,235612,464,1,3,0,1
34,119929,16309,613,17,2,0,0
61,128618,55230,320,3,3,0,1
45,93509,111822,381,15,3,0,0
47,28577,229728,430,4,2,1,0
46,28070,161099,604,4,2,1,0
63,146161,203613,670,18,1,0,1
23,28666,112340,683,17,1,1,1
52,77761,245918,744,19,3,1,1
58,141178,59321,724,11,3,0,0
54,56368,132028,460,3,1,0,1
41,26783,231447,477,8,1,1,1
46,131530,74131,789,14,2,0,0
66,61914,178980,626,1,1,1,0
63,90507,209411,588,14,1,0,1
48,147738,25963,653,2,3,1,0
52,99026,101757,327,4,1,1,1
50,135893,170515,342,19,3,1,0
69,131255,99259,722,6,1,1,1
38,130616,39063,476,1,2,0,0
49,87526,114225,828,17,1,0,1
40,90835,116400,793,8,1,1,0
50,65765,80818,497,19,1,1,0
20,39956,4703,816,1,3,0,0
35,107895,196200,813,5,2,0,1
42,66240,72099,321,16,1,1,0
59,141008,156921,411,6,3,1,1
48,57148,162932,356,8,2,1,0
20,114270,31585,365,13,3,1,0
57,147978,153087,397,16,3,1,0
63,24757,208611,443,3,2,0,1
41,39097,43585,734,19,1,1,0
67,30395,26958,385,12,3,0,1
49,36241,26017,643,16,3,0,1
64,123892,207779,593,11,1,0,1
39,47696,124677,542,10,1,1,0
40,135654,176422,331,4,2,0,0
19,90480,143273,690,12,2,0,0
44,66163,29426,576,2,2,0,0
59,39816,17778,831,19,1,0,1
19,69840,176313,453,5,3,1,0
43,122547,42229,682,8,3,1,0
34,72853,86652,367,7,2,0,0
57,44917,128267,513,14,1,0,1
50,116731,249474,675,3,3,1,0
26,41566,179436,512,18,2,1,0
60,95452,229905,378,16,3,1,1
65,82823,126503,680,19,3,0,1
56,141392,84878,357,19,1,1,0
46,40806,57056,325,18,1,0,1
59,95520,158562,746,16,3,0,1
43,21759,19975,365,8,2,1,0
52,146092,157795,553,1,1,0,0
67,61949,154351,343,17,3,1,0
42,112374,209373,396,12,1,0,1
41,22482,243286,526,11,1,1,0
30,44442,142633,735,5,1,0,0
24,53719,238507,678,12,3,0,0
53,78066,197133,477,17,2,1,0
62,113501,88397,726,6,2,1,1
37,22079,180225,606,1,2,1,1
18,22717,33142,803,5,1,1,0
25,79676,26916,567,14,3,0,0
63,47952,64324,307,5,1,1,0
33,106444,176037,807,1,2,1,0
31,62460,125932,775,18,2,0,0
29,110397,135720,596,16,3,1,0
68,92847,166205,463,9,1,1,0
40,113607,181749,784,19,2,0,1
32,109106,96059,371,5,3,1,0
45,38449,225660,537,2,1,1,0
51,53536,231022,403,15,1,1,0
19,84077,98317,509,7,2,1,0
49,58258,201207,767,4,2,1,0
40,68302,35046,753,1,1,1,0
39,145937,178136,567,13,1,0,0
68,48865,101459,685,7,2,1,1
42,26645,237697,686,15,1,0,1
39,139771,200422,558,14,2,0,1
39,58000,45893,582,19,1,0,0
66,46737,101520,339,18,2,0,1
69,31485,125818,785,10,3,1,0
59,58565,61272,519,9,2,1,0
23,45522,223224,428,8,2,1,1
32,139614,67649,819,10,3,0,0
60,85155,64674,559,17,1,1,0
54,75168,239614,665,2,3,1,1
50,72487,144832,843,6,2,1,0
25,149948,152999,823,5,1,0,1
61,32342,86475,315,9,3,0,1
61,60806,61367,428,5,1,1,0
22,68770,229027,408,18,1,0,1
56,98623,143660,832,9,3,0,0
21,123177,121750,568,17,1,1,0
23,119785,232750,461,17,3,0,1
62,95629,235806,559,12,2,0,1
49,140993,118154,401,7,1,1,0
69,72603,183305,805,3,2,0,1
47,146944,44738,546,10,2,0,0
64,132726,33397,836,2,1,0,1
52,101974,82189,430,3,3,0,1
57,125947,76367,652,16,1,0,1
69,46399,202332,495,2,2,0,0
33,148177,120585,681,10,2,0,0
30,105382,76619,526,6,3,0,1
67,101244,111453,775,11,1,1,0
59,129575,19816,776,7,2,1,0
47,135520,173312,564,15,2,1,0
36,130904,137348,671,6,2,1,0
34,96534,245011,785,9,3,0,1
36,75106,235271,733,12,2,1,0
45,132599,79530,510,19,2,1,0
43,50678,154571,676,3,1,0,0
54,96218,219648,694,15,1,0,0
43,83230,108856,749,2,2,0,0
40,134684,213567,663,2,2,0,0
26,94055,71635,756,3,1,0,1
29,76373,107803,525,6,3,1,0
18,51480,216184,430,15,3,0,0
18,105230,35946,775,10,3,1,0
64,88836,55204,576,9,3,1,0
51,92258,182958,455,1,3,0,1
49,59986,202724,517,16,3,1,0
65,44160,15563,489,6,3,1,0
42,105595,92324,716,9,3,0,1
57,121358,223536,845,4,1,1,0
62,99111,232944,340,2,3,1,1
18,84929,9847,606,4,3,1,0
33,93506,26155,637,1,3,0,0
56,54911,79671,613,19,2,0,0
22,107127,116891,374,10,1,0,0
39,51821,83310,578,15,1,1,0
46,95039,198350,475,19,1,0,0
20,80535,149381,572,16,3,1,0
29,133453,131691,588,4,3,0,0
43,104458,214266,571,2,2,1,0
33,32175,181180,365,13,1,0,1
68,139235,34707,782,1,3,0,0
54,74771,151409,547,17,1,1,1
39,126660,81537,455,13,2,0,0
46,147157,197576,346,4,2,1,0
31,141300,178686,753,7,2,0,0
45,106925,222500,500,17,1,0,0
22,133374,91155,423,9,3,1,0
64,86358,281,300,4,3,1,0
66,37327,158492,490,19,2,1,1
47,67057,211968,815,1,3,0,1
63,26150,170102,741,10,2,1,1
69,24425,132130,442,4,1,0,1
22,143654,217285,490,9,2,1,0
29,36032,76260,832,13,1,1,0
33,22198,159476,526,14,2,1,0
43,80500,234554,612,10,3,1,0
43,73394,236356,601,6,3,1,0
65,40079,160928,759,16,2,1,0
38,56220,140272,700,6,3,0,1
56,61874,64178,692,17,3,1,0
53,33859,33997,506,10,3,0,1
50,70460,156683,509,18,1,1,0
47,51419,119273,414,18,3,1,0
54,138865,172307,550,3,1,1,0
40,28705,248500,518,15,2,0,0
27,62880,166129,706,15,3,0,1
22,149838,132311,742,4,3,1,0
53,43236,234746,653,9,3,0,1
51,107955,245546,849,19,2,1,1
69,105514,196733,441,17,1,1,0
48,123145,126945,800,11,1,0,0
27,35358,45272,846,9,3,0,1
36,119713,89393,841,10,2,0,0
49,114914,61212,806,18,2,0,0
18,122870,146470,580,13,2,1,0
22,96918,120030,723,8,2,0,0
62,139179,56503,569,7,2,0,0
21,136243,137710,453,17,1,1,0
33,34596,6570,382,15,1,0,1
41,53572,68785,725,15,1,0,0
33,98757,9110,574,1,3,0,1
19,21279,236971,583,14,2,0,0
66,83197,79141,472,5,3,1,0
45,131496,12115,626,11,2,1,0
49,82516,39062,362,16,1,0,0
44,27083,22911,372,2,3,0,1
37,140674,104061,674,8,1,1,0
41,140307,32556,807,11,2,0,0
29,146457,209203,697,18,2,0,0
67,129397,128335,419,3,2,0,0
52,37771,1969,736,1,1,0,1
50,49975,43753,764,11,2,0,0
50,65648,213883,585,16,1,0,0
68,145641,135542,564,18,3,0,1
60,68285,121863,619,16,2,0,0
54,39063,10225,675,10,2,0,1
29,87642,238932,388,18,2,1,0
20,110093,123008,502,6,3,1,0
18,134390,238582,633,19,2,1,0
50,106143,239367,521,4,1,0,0
57,57599,154268,340,13,1,0,1
27,71920,105823,367,14,2,1,0
60,48529,13669,813,3,2,0,1
61,55954,168452,426,10,3,1,0
46,47856,124398,554,6,3,0,1
30,22573,110677,315,1,3,1,0
29,98344,246958,776,14,2,1,0
48,55367,48320,361,8,3,1,0
63,122337,178486,731,19,3,0,0
19,126732,234614,567,14,1,1,0
68,119608,146649,334,10,3,0,0
67,80774,125354,793,17,1,0,1
52,43752,88009,768,9,1,0,1
40,75029,186481,624,6,3,0,0
34,37685,28625,603,11,1,0,1
43,71693,212112,575,7,2,0,0
25,136739,24089,500,17,2,0,0
46,75961,36487,744,1,3,1,0
43,126937,196910,623,5,2,1,0
27,144956,228071,334,9,1,1,0
43,96908,110448,781,18,2,0,1
51,145537,225867,779,2,3,0,1
68,146678,50138,364,11,3,0,1
58,94532,173895,307,6,1,0,1
24,101994,168280,600,8,3,1,0
21,76133,54061,642,4,2,0,1
67,117425,161731,730,18,3,1,0
62,145055,101376,723,11,1,0,0
28,81268,162962,631,5,3,1,0
46,112201,79134,737,15,2,0,1
53,58243,47055,473,18,1,1,0
42,77384,243341,826,2,2,0,1
38,51653,19508,325,11,1,1,0
53,46657,173359,705,13,3,0,0
27,59952,209988,531,4,1,1,0
54,42180,158056,832,7,1,1,0
26,117432,110169,849,11,3,0,0
41,141829,8125,804,4,2,1,0
52,148377,36059,478,15,3,0,0
66,98411,200641,431,1,1,0,0
52,21622,103409,754,3,3,0,1
65,68756,148159,647,14,1,1,0
53,60809,237509,839,6,3,1,0
35,36725,246334,705,18,3,0,0
66,81396,5704,375,1,2,0,1
56,71226,191648,791,6,1,1,0
49,126296,204456,493,6,2,1,0
41,101182,218200,461,16,1,1,0
40,102565,111279,646,5,3,0,1
49,49402,203532,660,17,1,0,0
54,24263,158280,386,10,2,0,1
29,143489,118516,561,18,2,0,1
66,116523,216222,513,7,2,0,1
30,66828,197096,561,3,1,1,0
40,140824,170954,582,13,2,0,1
42,67924,156995,766,15,2,1,0
52,94182,114044,679,19,2,1,1
58,113065,232549,661,3,3,0,1
47,79052,29165,748,4,3,1,0
34,31664,67203,740,5,1,0,0
66,55737,222821,392,1,1,1,1
37,121332,4114,723,4,2,0,1
65,109563,196037,441,12,3,0,1
42,49373,36321,590,10,2,1,0
39,137369,73297,731,13,2,0,0
30,56397,96652,348,14,3,1,0
36,148575,99304,601,5,3,0,0
66,106145,245014,489,4,3,0,1
53,121371,156498,435,14,1,0,0
29,58709,17772,703,10,1,1,0
58,136074,103754,640,17,2,1,0
36,81120,3712,617,10,1,0,0
29,39250,132439,662,7,3,1,1
26,41172,237565,681,16,3,0,1
24,31555,238389,532,1,1,1,0
45,107410,115142,643,17,2,1,0
31,98617,91736,848,9,2,0,1
48,73276,51924,828,6,1,0,1
69,77492,3726,482,19,2,0,1
36,73002,89152,340,13,2,0,0
64,140103,27723,696,3,2,0,0
33,144938,126969,793,7,3,1,0
22,109599,234182,632,9,3,1,0
52,92355,100494,426,5,1,0,1
29,111248,140180,300,10,3,0,0
42,44762,208786,467,17,2,0,1
69,31046,35643,318,12,3,1,1
38,116999,162396,631,16,1,0,0
53,144130,103896,755,3,3,0,0
40,136021,214432,408,9,2,1,0
33,48769,241968,567,15,2,1,0
56,73302,139999,744,5,1,1,1
62,43150,93680,539,13,3,1,0
59,88247,96546,600,14,3,0,0
56,24853,153515,402,15,3,1,0
31,114613,79973,549,16,2,1,0
48,140900,63449,752,13,1,0,0
22,109399,109834,819,17,3,0,0
52,41792,236386,452,8,2,0,1
40,79129,207815,473,2,2,1,0
46,126019,191305,642,5,2,0,0
60,94478,25537,730,6,3,1,0
28,133811,232365,623,12,3,1,0
35,134130,77576,719,18,3,1,0
64,87298,107522,784,1,3,0,1
29,51987,22612,711,17,3,1,0
26,35850,225049,383,11,3,0,0
27,32112,6471,412,10,3,0,1
61,141789,166703,631,19,3,0,0
34,44058,240069,677,14,3,1,0
55,65420,223131,340,10,2,1,1
24,58890,31348,404,15,3,1,0
63,86017,195804,501,19,1,0,1
30,67304,1177,749,4,2,1,1
57,52921,135832,565,2,3,1,0
59,125921,32779,509,9,1,1,0
26,21524,21636,417,10,3,1,0
67,120424,81889,676,11,1,1,0
44,35048,53551,839,14,1,0,0
19,55111,142628,383,7,1,0,0
22,57904,158670,753,15,1,0,1
46,74912,142635,813,19,2,0,0
54,54008,46819,686,15,2,1,0
55,20060,240398,649,8,1,0,1
36,94666,73770,595,11,3,1,0
25,103559,222127,557,9,1,0,0
65,75337,158038,380,15,2,0,1
62,130616,212781,567,1,3,0,1
18,33350,190961,718,1,2,1,0
39,44354,158059,534,19,2,1,0
69,65186,78714,610,3,3,0,1
34,48145,235946,656,10,1,1,0
24,54020,189420,512,8,1,0,0
42,106123,24596,348,15,1,0,1
62,126667,164246,426,10,1,0,1
21,95186,64106,522,1,3,1,0
53,105469,238582,578,18,3,0,0
23,40581,201039,707,2,3,0,1
48,108929,59182,804,19,2,0,0
36,43051,224372,593,13,3,1,0
61,71474,87163,576,1,1,0,0
56,111748,39310,737,2,2,1,1
44,145995,56088,406,16,1,0,0
27,134618,128803,719,15,1,1,0
43,89626,139978,728,13,3,0,1
36,26960,36914,674,16,3,0,1
56,55772,110350,372,17,1,1,0
20,41520,45379,329,7,1,1,0
62,69481,209684,487,17,2,0,1
30,56408,245900,663,7,3,1,0
67,114006,168722,750,13,2,0,1
45,148496,177953,494,5,2,0,0
37,77134,46413,455,17,2,0,0
45,40491,137084,471,3,1,1,0
25,21341,181187,340,7,2,0,1
58,64623,7151,362,17,2,1,0
56,110327,57716,322,7,1,0,0
18,20338,93747,659,1,3,1,0
20,91431,223725,374,17,3,1,0
30,32254,167450,417,17,2,0,0
45,71860,173724,679,11,1,1,0
66,31344,203502,589,3,3,0,1
42,21750,144539,739,15,2,0,0
50,74756,162082,306,11,2,0,1
55,87957,121999,495,16,1,0,1
23,125423,114793,720,9,2,0,0
61,78053,185763,492,1,3,1,1
62,90855,195229,447,16,1,0,0
49,35896,108177,501,9,3,1,1
62,75761,12289,743,19,3,1,0
64,82552,176048,718,12,3,0,1
38,140075,174668,726,19,2,1,0
33,97454,154243,778,9,2,0,1
38,146522,231513,774,7,3,1,0
28,138681,86365,425,14,3,1,0
54,110600,249290,694,19,1,1,1
53,142732,230662,624,19,1,0,1
52,132153,114014,691,2,2,1,0
36,142926,175211,739,9,2,0,0
37,47935,179785,503,13,1,1,1
35,57641,160806,785,15,3,1,0
64,49711,72588,330,3,2,1,1
58,90342,63646,687,11,3,1,1
66,126896,3654,733,14,1,0,1
31,32182,220094,675,8,2,0,0
32,107833,18743,643,18,2,1,0
48,76276,48368,742,19,1,1,0
18,39541,221097,374,16,2,0,1
20,114457,205244,454,2,1,0,0
33,102310,137513,729,8,2,0,0
40,64813,119735,662,6,1,0,0
28,57198,155683,747,12,2,1,0
29,28820,119891,533,15,3,1,1
27,44070,107971,561,8,3,0,1
49,89768,12149,424,4,3,0,1
33,31122,100102,544,15,2,0,0
25,100559,59189,841,17,2,0,0
55,93543,238976,784,13,3,0,0
29,103441,152747,421,18,3,0,0
41,61786,71031,424,2,1,1,0
45,114934,42668,848,13,1,1,0
25,119804,144745,469,13,1,1,0
45,26737,207738,423,15,3,0,1
53,56062,88204,334,10,3,0,0
43,74237,211830,386,3,3,0,1
25,71571,196501,500,19,1,1,0
